revision	count	stack_root_to_leaf
master	56	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_$LT$core..iter..adapters..map..Map$LT$I$C$F$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::fold;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;<deduplicated_symbol>
master	54	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_$LT$core..iter..adapters..map..Map$LT$I$C$F$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::fold;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;_xzm_xzone_malloc
master	54	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;_xzm_xzone_malloc
master	53	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;herdr::protocol::render_ansi::build_sgr;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvNtCsitGFVNq7Ifu_4core3fmt5write
master	51	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;herdr::protocol::render_ansi::build_sgr;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;_xzm_xzone_malloc
master	51	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;herdr::protocol::render_ansi::build_sgr;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvMNtNtCsitGFVNq7Ifu_4core3fmt2rtNtB2_8Argument3fmt;_RNvMsa_NtNtNtCsitGFVNq7Ifu_4core3fmt3num3impm10__fmt_inner
master	49	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;core::iter::traits::double_ended::DoubleEndedIterator::rfold
master	47	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::raw_vec::RawVecInner$LT$A$GT$::reserve;alloc::raw_vec::RawVecInner$LT$A$GT$::grow_amortized;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc
master	45	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;<deduplicated_symbol>
master	45	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::str::_$LT$impl$u20$alloc..slice..Join$LT$$RF$str$GT$$u20$for$u20$$u5b$S$u5d$$GT$::join;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;_xzm_xzone_malloc
master	44	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;unicode_width::tables::str_width;core::str::validations::next_code_point_reverse
master	42	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvNtCsdBofyk9Yr2t_5alloc5alloc5alloc;_malloc_zone_malloc
master	41	herdr::protocol::render_ansi::tests::ansi_instruments_probe::_$u7b$$u7b$closure$u7d$$u7d$;herdr::protocol::render_ansi::BlitEncoder::encode;herdr::protocol::render_ansi::BlitEncoder::encode_inner;herdr::protocol::render_ansi::write_cell;alloc::fmt::format::_$u7b$$u7b$closure$u7d$$u7d$;_RNvXs_NvNtNtCsitGFVNq7Ifu_4core3fmt5Write9write_fmtQNtNtCsdBofyk9Yr2t_5alloc6string6StringNtB4_12SpecWriteFmt14spec_write_fmtBS_;_RNvNtCsitGFVNq7Ifu_4core3fmt5write;_RNvMs2_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner7reserveB7_;_RNvMs4_NtCsdBofyk9Yr2t_5alloc7raw_vecNtB5_11RawVecInner14grow_amortizedB7_;_RNvNtCsdBofyk9Yr2t_5alloc5alloc15realloc_nonnull;_realloc;_malloc_zone_realloc;xzm_realloc;_xzm_free;_platform_memset
